,State,Year,Unemployment Rate,Crime Rate
0,AL,1976,0.00018575716234652115,0.20781991814461118
1,AL,1977,0.00019850948509485096,0.2012249322493225
2,AL,1978,0.0001704970603955104,0.2105184393372528
3,AL,1979,0.0001899177500663306,0.22519766516317327
4,AL,1980,0.00022962781492831996,0.2555298946047952
5,AL,1981,0.0002692032686414709,0.2501940755873341
6,AL,1982,0.0003575957392848085,0.23502662946994674
7,AL,1983,0.00034877494316746654,0.20717352866885577
8,AL,1984,0.0002758897243107769,0.19559398496240601
9,AL,1985,0.00022797811489679186,0.19607560308381
10,AL,1986,0.0002393288921786331,0.2116136195410807
11,AL,1987,0.00019796718099436688,0.21804555473916237
12,AL,1988,0.00017465471286648898,0.22106857281318149
13,AL,1989,0.00017100534239922294,0.22476202039825158
14,AL,1990,0.00016747566628314155,0.243293858045873
15,AL,1991,0.00017955490339936414,0.2624455857177794
16,AL,1992,0.00018295454545454547,0.2547461315280464
17,AL,1993,0.00017513732983042752,0.2330475280630523
18,AL,1994,0.00014735719364778382,0.23242474520028442
19,AL,1995,0.000140489066541265,0.22798495179873032
20,AL,1996,0.00012246665106482564,0.22562368359466423
21,AL,1997,0.00011558231072007409,0.22643204445473492
22,AL,1998,0.00010128676470588236,0.2112637867647059
23,AL,1999,0.00010831005647317924,0.20195145750598076
24,AL,2000,0.000103055924085359,0.2044410964448742
25,AL,2001,0.00011468115729287128,0.19311188047560565
26,AL,2002,0.00013172889033368938,0.19972779006255112
27,AL,2003,0.00013360048990546938,0.1987509897360541
28,AL,2004,0.00012558075297627267,0.19694721431925533
29,AL,2005,9.876158860169904e-05,0.19054038990600283
30,AL,2006,8.76924047027308e-05,0.18987482142973627
31,AL,2007,8.606586512832847e-05,0.19130477623415276
32,AL,2008,0.00012136682468521419,0.1946545399944229
33,AL,2009,0.0002343105582253136,0.17968623240175438
34,AL,2010,0.00022029501811864877,0.16348264231148027
35,AL,2011,0.0002007207377496753,0.16758786840696804
36,AL,2012,0.0001648563329574836,0.164225303931809
37,AL,2013,0.0001492967722770147,0.1560861862525331
38,AL,2014,0.0001398736373765125,0.14843556192888285
39,AK,1976,0.0019916230366492146,3.2569633507853397
40,AK,1977,0.002426289926289926,2.8982800982800985
41,AK,1978,0.0026508684863523575,3.000545905707196
42,AK,1979,0.0022948275862068965,3.056009852216749
43,AK,1980,0.0021867942618518568,2.5653993483921096
44,AK,1981,0.002277427184466019,3.2014320388349518
45,AK,1982,0.00226986301369863,2.836780821917808
46,AK,1983,0.002082463465553236,2.5130062630480166
47,AK,1984,0.0019734,2.44608
48,AK,1985,0.0018650671785028791,2.256026871401151
49,AK,1986,0.002050561797752809,2.3392696629213483
50,AK,1987,0.0019586666666666667,2.0485714285714285
51,AK,1988,0.0017169590643274853,1.9187719298245611
52,AK,1989,0.0013345351043643264,1.8140037950664136
53,AK,1990,0.0013166243366427716,1.8735626123775777
54,AK,1991,0.001486842105263158,2.00059649122807
55,AK,1992,0.0015218057921635433,1.8975979557069846
56,AK,1993,0.0012841402337228716,1.8590984974958262
57,AK,1994,0.0012554455445544553,1.883844884488449
58,AK,1995,0.0012127483443708609,1.9052152317880795
59,AK,1996,0.0012533772652388797,1.7958649093904446
60,AK,1997,0.0011740558292282432,1.7315435139573072
61,AK,1998,0.0010355048859934852,1.556026058631922
62,AK,1999,0.0010451977401129942,1.4074414850686037
63,AK,2000,0.0010168566925918602,1.3556175151372079
64,AK,2001,0.001015261272351372,1.3397724223916168
65,AK,2002,0.0011367427301155761,1.348471196385869
66,AK,2003,0.0012070401678287161,1.3449743937804652
67,AK,2004,0.001133856831190945,1.2172313399366026
68,AK,2005,0.0010377638698958014,1.2806726844808844
69,AK,2006,0.0009875338219513979,1.2733619579346709
70,AK,2007,0.0009265843231237875,1.1823350568708868
71,AK,2008,0.0009750937281889805,1.0430967531360513
72,AK,2009,0.0011084179345515145,1.0233036924834604
73,AK,2010,0.0011038359103040555,0.9723781971753674
74,AK,2011,0.0010488215953361147,0.8973696571160169
75,AK,2012,0.0009779448916688463,0.9167925269783803
76,AK,2013,0.00094837770715583,0.9487846197876187
77,AK,2014,0.0009331751573163646,0.9178778714647933
78,AZ,1976,0.0004295154185022026,0.6948370044052864
79,AZ,1977,0.0003574912891986063,0.6748432055749128
80,AZ,1978,0.0002566694987255735,0.6460322854715378
81,AZ,1979,0.00020681632653061225,0.6414163265306122
82,AZ,1980,0.00024460871995837016,0.6018214179571968
83,AZ,1981,0.00022316505549588254,0.5452166129609738
84,AZ,1982,0.00035255244755244753,0.49867132867132863
85,AZ,1983,0.00029784002699966244,0.4314276071549106
86,AZ,1984,0.00017006223386832625,0.42577137242056984
87,AZ,1985,0.00019846250392218387,0.44657671791653597
88,AZ,1986,0.000208019294543262,0.4414470907446488
89,AZ,1987,0.00019099232132309507,0.42460720614294145
90,AZ,1988,0.00018392960184650893,0.4311165608770917
91,AZ,1989,0.0001499718785151856,0.45330708661417324
92,AZ,1990,0.00014392010537952893,0.4304643531043635
93,AZ,1991,0.00015845333333333334,0.39496533333333333
94,AZ,1992,0.0001965814196242171,0.36683716075156575
95,AZ,1993,0.0001628048780487805,0.3776270325203252
96,AZ,1994,0.00015111656441717792,0.38893496932515337
97,AZ,1995,0.000127027027027027,0.3894547178757705
98,AZ,1996,0.0001257226738934056,0.31919602529358626
99,AZ,1997,0.0001004390779363337,0.31591877058177825
100,AZ,1998,9.20968087384879e-05,0.28164275005354467
101,AZ,1999,9.29613095113525e-05,0.24678067576719237
